App_ID,Application Name,App_Order,Region,Application Type,Lifecycle,Roadmap,Owner,Hosting,Product Category,Annual cost,Comments,Risk,Superseder
APP1,Okta Workforce Identity,1,Global,SaaS,Invest,Expand,"Director, IAM",SaaS,B2B,18500,Workforce SSO/MFA; consolidating legacy AD FS.,,
APP2,NimbusID (Customer IAM),2,Global,Bespoke,Invest,Modernise,"Director, IAM",AWS,B2C,420000,Customer login + token service built on Cognito + custom auth.,,
APP3,Storefront Web (Next.js),3,Global,Bespoke,Invest,Expand,"Director, Digital Channels",AWS,,610000,Core web storefront; edge caching + A/B testing.,,
APP4,Mobile App (iOS/Android),4,Global,Bespoke,Invest,Expand,"Director, Digital Channels",AWS,B2B,720000,Native apps; uses feature flags + offline cart.,,
APP5,Content & Experimentation (Optimizely),5,NA/EU,SaaS,Active,Consolidate,"Director, Digital Channels",SaaS,B2C,130000,CMS + experimentation; migrating some pages to in-house.,,
APP6,Product Catalog (PIM) - Akeneo,6,Global,COTS,Invest,Modernise,Head of Discovery,AWS,,2400000,"Central PIM; feeds search, ads, marketplace listings.",,
APP7,Search Platform (OpenSearch),7,Global,Bespoke,Invest,Expand,Head of Discovery,AWS,B2B,38000,Search + autocomplete; ML ranking service sidecar.,,
APP8,Recommendations Engine (ML Platform),8,Global,Bespoke,Invest,Expand,Head of Discovery,AWS,B2C,52000,Real-time recs; batch training on feature store.,,
APP9,CRM & Contact Center (Salesforce Service Cloud),9,Global,SaaS,Active,Optimise,"Director, Customer Operations",SaaS,,56000,Cases + knowledge base; CTI integration.,,
APP10,Customer Messaging (Braze),10,Global,SaaS,Invest,Expand,"Director, Customer Operations",SaaS,B2B,320000,Email/SMS/push journeys; unified preference center.,,
APP11,Order Orchestrator (NimbusOMS),11,Global,Bespoke,Invest,Modernise,VP Digital Experience,AWS,B2C,890000,"Orchestrates split shipments, backorders, and cancellations.",,APP21
APP12,Payments Gateway (Adyen),12,Global,SaaS,Active,Expand,VP Digital Experience,SaaS,B2B,74000,Multi-region payments; tokenization + 3DS.,,
APP13,Fraud & Trust (Sift),13,Global,SaaS,Invest,Expand,VP Digital Experience,SaaS,B2B,29000,Account take-over + payment fraud models.,,
APP14,Demand & Replenishment (Blue Yonder),14,Global,COTS,Invest,Modernise,Head of Supply Chain Systems,Azure,B2C,670000,Forecasting + replenishment; integrating real-time signals.,,
APP15,Warehouse Management (Manhattan Active WM),15,NA/EU,SaaS,Invest,Rollout,"Director, FC Systems",SaaS,B2B,9800,WMS for FCs; phased rollout by region.,,
APP16,Robotics Control & Telemetry (Bespoke),16,NA,Bespoke,Invest,Expand,"Director, FC Systems",AWS,B2C,4500000,Interfaces with conveyors/AMRs; near-real-time telemetry.,,
APP17,Transportation Mgmt (Oracle OTM),17,Global,COTS,Active,Optimise,"Director, Transportation Tech",OCI,,520000,"Carrier tendering, planning, freight audit.",,
APP18,Last Mile Dispatch (Onfleet),18,APAC/NA,SaaS,Invest,Expand,"Director, Transportation Tech",SaaS,,210000,Courier dispatch + proof of delivery; route optimization.,,
APP19,ERP Core (SAP S/4HANA),19,Global,COTS,Invest,Program,"Controller, Finance Systems",Hybrid,,1850000,Global finance backbone; multi-year transformation program.,,
APP20,Data Warehouse (Snowflake),20,Global,SaaS,Invest,Expand,Head of Data Platforms,SaaS,,1240000,Enterprise analytics + sharing; governed semantic layer.,,
APP21,n8n,,,,Active,,,,,0,,Low,
